X:504 Y:562 DeltaX:0 DeltaY:-1
X:505 Y:562 DeltaX:1 DeltaY:0
X:505 Y:561 DeltaX:0 DeltaY:-1
X:506 Y:561 DeltaX:1 DeltaY:0
X:507 Y:561 DeltaX:1 DeltaY:0
X:507 Y:560 DeltaX:0 DeltaY:-1
X:508 Y:559 DeltaX:1 DeltaY:-1
X:509 Y:558 DeltaX:1 DeltaY:-1
X:510 Y:558 DeltaX:1 DeltaY:0
X:512 Y:556 DeltaX:2 DeltaY:-2
X:513 Y:556 DeltaX:1 DeltaY:0
X:514 Y:555 DeltaX:1 DeltaY:-1
X:515 Y:554 DeltaX:1 DeltaY:-1
X:516 Y:554 DeltaX:1 DeltaY:0
X:517 Y:552 DeltaX:1 DeltaY:-2
X:518 Y:552 DeltaX:1 DeltaY:0
X:519 Y:552 DeltaX:1 DeltaY:0
X:521 Y:551 DeltaX:2 DeltaY:-1
X:521 Y:550 DeltaX:0 DeltaY:-1
X:523 Y:549 DeltaX:2 DeltaY:-1
X:524 Y:549 DeltaX:1 DeltaY:0
X:526 Y:548 DeltaX:2 DeltaY:-1
X:527 Y:548 DeltaX:1 DeltaY:0
X:528 Y:546 DeltaX:1 DeltaY:-2
X:529 Y:546 DeltaX:1 DeltaY:0
X:531 Y:545 DeltaX:2 DeltaY:-1
X:532 Y:544 DeltaX:1 DeltaY:-1
X:533 Y:544 DeltaX:1 DeltaY:0
X:535 Y:543 DeltaX:2 DeltaY:-1
X:536 Y:542 DeltaX:1 DeltaY:-1
X:537 Y:542 DeltaX:1 DeltaY:0
X:539 Y:540 DeltaX:2 DeltaY:-2
X:540 Y:540 DeltaX:1 DeltaY:0
X:541 Y:540 DeltaX:1 DeltaY:0
X:543 Y:538 DeltaX:2 DeltaY:-2
X:545 Y:536 DeltaX:2 DeltaY:-2
X:547 Y:536 DeltaX:2 DeltaY:0
X:548 Y:535 DeltaX:1 DeltaY:-1
X:550 Y:534 DeltaX:2 DeltaY:-1
X:551 Y:534 DeltaX:1 DeltaY:0
X:552 Y:532 DeltaX:1 DeltaY:-2
X:554 Y:531 DeltaX:2 DeltaY:-1
X:556 Y:530 DeltaX:2 DeltaY:-1
X:558 Y:529 DeltaX:2 DeltaY:-1
X:559 Y:528 DeltaX:1 DeltaY:-1
X:561 Y:526 DeltaX:2 DeltaY:-2
X:562 Y:526 DeltaX:1 DeltaY:0
X:565 Y:524 DeltaX:3 DeltaY:-2
X:566 Y:523 DeltaX:1 DeltaY:-1
X:567 Y:522 DeltaX:1 DeltaY:-1
X:569 Y:521 DeltaX:2 DeltaY:-1
X:571 Y:519 DeltaX:2 DeltaY:-2
X:572 Y:519 DeltaX:1 DeltaY:0
X:574 Y:518 DeltaX:2 DeltaY:-1
X:575 Y:517 DeltaX:1 DeltaY:-1
X:576 Y:516 DeltaX:1 DeltaY:-1
X:579 Y:514 DeltaX:3 DeltaY:-2
X:581 Y:513 DeltaX:2 DeltaY:-1
X:582 Y:511 DeltaX:1 DeltaY:-2
X:584 Y:510 DeltaX:2 DeltaY:-1
